Date,Adjusted Close,Close,High,Low,Open,Volume
2023-03-06,27949.0,27949.0,28050.0,27828.0,27948.0,554470200
2023-03-07,27762.0,27762.0,28018.0,27757.0,27888.0,441739500
2023-03-08,27912.0,27912.0,27922.0,27664.0,27669.0,385010300
2023-03-09,27711.0,27711.0,27949.0,27559.0,27919.0,401790800
2023-03-10,27282.0,27282.0,27320.0,26982.0,27140.0,511907900
2023-03-13,26184.0,26184.0,27202.0,25995.0,27202.0,913690400
2023-03-14,26801.0,26801.0,26844.0,26087.0,26196.0,595702600
2023-03-15,25566.0,25566.0,26860.0,25513.0,26695.0,834015200
2023-03-16,25919.0,25919.0,26175.0,25306.0,25980.0,674231500
2023-03-17,25495.0,25495.0,26372.0,25330.0,26145.0,1045058400
2023-03-20,25900.0,25900.0,26000.0,24751.0,25246.0,764799400
2023-03-21,26554.0,26554.0,26694.0,26169.0,26185.0,547713300
2023-03-22,26523.0,26523.0,26678.0,26439.0,26519.0,373498500
2023-03-23,26482.0,26482.0,26607.0,26248.0,26458.0,394823300
2023-03-24,25892.0,25892.0,26311.0,25709.0,26292.0,537974400
2023-03-27,26207.0,26207.0,26349.0,25998.0,26274.0,324453800
2023-03-28,26329.0,26329.0,26499.0,26161.0,26483.0,362879200
2023-03-29,26739.0,26739.0,26741.0,26420.0,26460.0,371529900
2023-03-30,27021.0,27021.0,27108.0,26857.0,26889.0,375512500
2023-03-31,27114.0,27114.0,27186.0,26883.0,27023.0,389511200
2023-04-03,27179.0,27179.0,27315.0,27156.0,27183.0,417507900
2023-04-04,27027.0,27027.0,27343.0,27013.0,27250.0,417318400
2023-04-05,26867.0,26867.0,27082.0,26783.0,27020.0,383442200
2023-04-06,27214.0,27214.0,27222.0,26952.0,26957.0,344858300
2023-04-11,27526.0,27526.0,27526.0,27363.0,27433.0,358703300
2023-04-12,27629.0,27629.0,27952.0,27518.0,27533.0,386925000
2023-04-13,27627.0,27627.0,27711.0,27510.0,27684.0,389280100
2023-04-14,27872.0,27872.0,27932.0,27694.0,27742.0,407647300
2023-04-17,27700.0,27700.0,28110.0,27700.0,27939.0,376921000
2023-04-18,27891.0,27891.0,28008.0,27732.0,27851.0,376606900
2023-04-19,27934.0,27934.0,28029.0,27796.0,27878.0,737145700
2023-04-20,27627.0,27627.0,27937.0,27557.0,27922.0,596977300
2023-04-21,27746.0,27746.0,27757.0,27483.0,27625.0,680638000
2023-04-24,27537.0,27537.0,27588.0,27375.0,27408.0,401807400
2023-04-25,27253.0,27253.0,27397.0,27161.0,27395.0,383475300
2023-04-26,27108.0,27108.0,27167.0,26852.0,27101.0,448461600
2023-04-27,27158.0,27158.0,27228.0,27007.0,27117.0,367810500
2023-04-28,27077.0,27077.0,27283.0,26668.0,27252.0,447347400
2023-05-02,26630.0,26630.0,27343.0,26608.0,27163.0,396391600
2023-05-03,26835.0,26835.0,27003.0,26757.0,26765.0,451218200
2023-05-04,26670.0,26670.0,26800.0,26495.0,26766.0,399239500
2023-05-05,27349.0,27349.0,27354.0,26805.0,26868.0,536337000
2023-05-08,27426.0,27426.0,27474.0,27312.0,27375.0,347435400
2023-05-09,27384.0,27384.0,27486.0,27206.0,27445.0,355766200
2023-05-10,27265.0,27265.0,27476.0,27172.0,27440.0,570764300
2023-05-11,27099.0,27099.0,27371.0,26896.0,27315.0,454332900
2023-05-12,27347.0,27347.0,27436.0,27222.0,27250.0,309355600
2023-05-15,27245.0,27245.0,27484.0,27173.0,27451.0,284730700
2023-05-16,27199.0,27199.0,27368.0,27110.0,27186.0,443917200
2023-05-17,27196.0,27196.0,27238.0,26938.0,27064.0,315694900
2023-05-18,27236.0,27236.0,27588.0,27236.0,27401.0,408353800
2023-05-19,27520.0,27520.0,27674.0,27311.0,27336.0,419433100
2023-05-22,27311.0,27311.0,27485.0,27187.0,27257.0,329661600
2023-05-23,27175.0,27175.0,27315.0,27127.0,27252.0,262021200
2023-05-24,26525.0,26525.0,26989.0,26459.0,26987.0,470197500
2023-05-25,26408.0,26408.0,26585.0,26287.0,26573.0,377030300
2023-05-26,26713.0,26713.0,26768.0,26179.0,26510.0,412949400
2023-05-29,26617.0,26617.0,26881.0,26503.0,26876.0,239452300
2023-05-30,26576.0,26576.0,26807.0,26508.0,26579.0,283844200
2023-05-31,26051.0,26051.0,26542.0,26000.0,26395.0,839245800
2023-06-01,26576.0,26576.0,26583.0,26278.0,26280.0,343360600
2023-06-02,27068.0,27068.0,27105.0,26634.0,26752.0,326740100
2023-06-05,26857.0,26857.0,27111.0,26726.0,27111.0,334206200
2023-06-06,27037.0,27037.0,27037.0,26687.0,26789.0,347584800
2023-06-07,27056.0,27056.0,27056.0,26778.0,27013.0,369944700
2023-06-08,27275.0,27275.0,27384.0,27005.0,27059.0,427430600
2023-06-09,27162.0,27162.0,27366.0,27094.0,27290.0,359243500
2023-06-12,27410.0,27410.0,27469.0,27232.0,27266.0,384612800
2023-06-13,27566.0,27566.0,27613.0,27354.0,27511.0,318053900
2023-06-14,27809.0,27809.0,27970.0,27566.0,27579.0,503698100
2023-06-15,27732.0,27732.0,27787.0,27553.0,27725.0,371693100
2023-06-16,27862.0,27862.0,27961.0,27694.0,27757.0,729056200
2023-06-19,27754.0,27754.0,27896.0,27701.0,27724.0,342574100
2023-06-20,27576.0,27576.0,27822.0,27574.0,27657.0,374128500
2023-06-21,27609.0,27609.0,27731.0,27563.0,27586.0,366780000
2023-06-22,27410.0,27410.0,27509.0,27083.0,27368.0,535748900
2023-06-23,27210.0,27210.0,27328.0,27111.0,27272.0,409199900
2023-06-26,27243.0,27243.0,27318.0,26864.0,27229.0,386297100
2023-06-27,27401.0,27401.0,27443.0,27178.0,27397.0,355925200
2023-06-28,27637.0,27637.0,27644.0,27435.0,27557.0,368838700
2023-06-29,27928.0,27928.0,27964.0,27648.0,27666.0,402881900
2023-06-30,28231.0,28231.0,28312.0,28048.0,28079.0,457549900
2023-07-03,28447.0,28447.0,28550.0,28370.0,28379.0,396466200
2023-07-04,28387.0,28387.0,28558.0,28383.0,28503.0,354004200
2023-07-05,28220.0,28220.0,28405.0,28185.0,28272.0,368625900
2023-07-06,27507.0,27507.0,28038.0,27420.0,27991.0,474105100
2023-07-07,27778.0,27778.0,27792.0,27381.0,27531.0,360002200
2023-07-10,27872.0,27872.0,27997.0,27620.0,27715.0,272183100
2023-07-11,28062.0,28062.0,28103.0,27835.0,27969.0,294616000
2023-07-12,28552.0,28552.0,28599.0,28171.0,28185.0,457250100
