Date,Adjusted Close,Close,High,Low,Open,Volume
2022-03-07,7369.1103515625,7372.0,7516.0,7130.0,7164.0,2439555
2022-03-08,6979.26318359375,6982.0,7312.0,6982.0,7206.0,907258
2022-03-09,7269.1494140625,7272.0,7354.0,6986.0,7222.0,948075
2022-03-10,7313.1328125,7316.0,7320.0,7186.0,7250.0,636438
2022-03-11,7437.0830078125,7440.0,7512.0,7328.0,7328.0,846019
2022-03-14,7714.97412109375,7718.0,7758.0,7418.0,7492.0,613903
2022-03-15,7660.99609375,7664.0,7776.0,7546.0,7648.0,421159
2022-03-16,7900.90087890625,7904.0,7950.0,7668.0,7706.0,947227
2022-03-17,7806.9384765625,7810.0,7946.0,7748.0,7926.0,695704
2022-03-18,7956.87939453125,7960.0,7970.0,7686.0,7826.0,927008
2022-03-21,7908.8984375,7912.0,8100.0,7834.0,8000.0,649022
2022-03-22,7910.89794921875,7914.0,7952.0,7720.0,7886.0,920444
2022-03-23,7838.92578125,7842.0,7994.0,7826.0,7912.0,481738
2022-03-24,7820.93310546875,7824.0,8000.0,7802.0,7890.0,519612
2022-03-25,7824.931640625,7828.0,7874.0,7744.0,7800.0,1082855
2022-03-28,7860.9169921875,7864.0,7940.0,7834.0,7834.0,802795
2022-03-29,7864.9150390625,7868.0,7914.0,7794.0,7866.0,936446
2022-03-30,7908.8984375,7912.0,7912.0,7808.0,7854.0,609992
2022-03-31,7962.876953125,7966.0,8014.0,7874.0,7996.0,1048640
2022-04-01,8080.83056640625,8084.0,8084.0,7958.0,8000.0,557464
2022-04-04,8136.80859375,8140.0,8190.0,8046.0,8072.0,402508
2022-04-05,8356.72265625,8360.0,8408.0,8090.0,8124.0,821786
2022-04-06,8384.7119140625,8388.0,8428.0,8322.0,8340.0,772108
2022-04-07,8430.693359375,8434.0,8482.0,8380.0,8380.0,922502
2022-04-08,8500.666015625,8504.0,8534.0,8410.0,8496.0,465601
2022-04-11,8406.7021484375,8410.0,8546.0,8390.0,8496.0,803235
2022-04-12,8166.79736328125,8170.0,8298.0,7956.0,8272.0,973874
